# t	vel	pos
2.03	-3.26267	14.5368
2.04	-3.328	14.5147
2.05	-3.39333	14.4922
2.06	-3.45867	14.4693
2.07	-3.524	14.4459
2.08	-3.58933	14.4221
2.09	-3.65467	14.3978
2.1	-3.72	14.3731
2.11	-3.78533	14.348
2.12	-3.85067	14.3224
2.13	-3.916	14.2964
2.14	-3.98133	14.27
2.15	-4.04667	14.2431
2.16	-4.112	14.2158
2.17	-4.17733	14.1881
2.18	-4.24267	14.1599
2.19	-4.308	14.1313
2.2	-4.37333	14.1023
2.21	-4.43867	14.0728
2.22	-4.504	14.0429
2.23	-4.56933	14.0125
2.24	-4.63467	13.9817
2.25	-4.7	13.9505
2.26	-4.76533	13.9188
2.27	-4.83067	13.8867
2.28	-4.896	13.8542
2.29	-4.96133	13.8212
2.3	-5.02667	13.7878
2.31	-5.092	13.754
2.32	-5.15733	13.7197
2.33	-5.22267	13.685
2.34	-5.288	13.6499
2.35	-5.35333	13.6143
2.36	-5.41867	13.5783
2.37	-5.484	13.5418
2.38	-5.54933	13.5049
2.39	-5.61467	13.4676
2.4	-5.68	13.4299
2.41	-5.74533	13.3917
2.42	-5.81067	13.353
2.43	-5.876	13.314
2.44	-5.94133	13.2745
2.45	-6.00667	13.2345
2.46	-6.072	13.1942
2.47	-6.13733	13.1534
2.48	-6.20267	13.1121
2.49	-6.268	13.0704
2.5	-6.33333	13.0283
2.51	-6.39867	12.9858
2.52	-6.464	12.9428
2.53	-6.52933	12.8994
2.54	-6.59467	12.8555
2.55	-6.66	12.8112
2.56	-6.72533	12.7665
2.57	-6.79067	12.7213
2.58	-6.856	12.6757
2.59	-6.92133	12.6297
2.6	-6.98667	12.5832
2.61	-7.052	12.5363
2.62	-7.11733	12.489
2.63	-7.18267	12.4412
2.64	-7.248	12.393
2.65	-7.31333	12.3444
2.66	-7.37867	12.2953
2.67	-7.444	12.2458
2.68	-7.50933	12.1958
2.69	-7.57467	12.1454
2.7	-7.64	12.0946
2.71	-7.70533	12.0433
2.72	-7.77067	11.9916
2.73	-7.836	11.9395
2.74	-7.90133	11.8869
2.75	-7.96667	11.8339
2.76	-8.032	11.7805
2.77	-8.09733	11.7266
2.78	-8.16267	11.6723
2.79	-8.228	11.6176
2.8	-8.29333	11.5624
2.81	-8.35867	11.5068
2.82	-8.424	11.4507
2.83	-8.48933	11.3942
2.84	-8.55467	11.3373
2.85	-8.62	11.28
2.86	-8.68533	11.2222
2.87	-8.75067	11.1639
2.88	-8.816	11.1053
2.89	-8.88133	11.0462
2.9	-8.94667	10.9866
2.91	-9.012	10.9267
2.92	-9.07733	10.8663
2.93	-9.14267	10.8054
2.94	-9.208	10.7441
2.95	-9.27333	10.6824
2.96	-9.33867	10.6203
2.97	-9.404	10.5577
2.98	-9.46933	10.4947
2.99	-9.53467	10.4312
3	-9.6	10.3673
3.01	-9.66533	10.303
3.02	-9.73067	10.2382
3.03	-9.796	10.173
3.04	-9.86133	10.1074
3.05	-9.92667	10.0413
3.06	-9.992	9.97484
3.07	-10.0573	9.9079
3.08	-10.1227	9.84052
3.09	-10.188	9.77271
3.1	-10.2533	9.70447
3.11	-10.3187	9.63578
3.12	-10.384	9.56667
3.13	-10.4493	9.49711
3.14	-10.5147	9.42712
3.15	-10.58	9.3567
3.16	-10.6453	9.28584
3.17	-10.7107	9.21454
3.18	-10.776	9.14281
3.19	-10.8413	9.07065
3.2	-10.9067	8.99804
3.21	-10.972	8.92501
3.22	-11.0373	8.85153
3.23	-11.1027	8.77762
3.24	-11.168	8.70328
3.25	-11.2333	8.6285
3.26	-11.2987	8.55328
3.27	-11.364	8.47763
3.28	-11.4293	8.40155
3.29	-11.4947	8.32502
3.3	-11.56	8.24807
3.31	-11.6253	8.17067
3.32	-11.6907	8.09284
3.33	-11.756	8.01458
3.34	-11.8213	7.93588
